,business_id,cool,date,funny,review_id,stars,text,type,useful,user_id
4152,45puCRQ6Vh_IIAy7kkfFDQ,1,2008-10-08,1,9xgPjcPuanjpCCRcJF_vCw,5,"I like this place. I don't get there often, but it's a nice place to hangout to watch sports.",review,1,Y1Q89zYXcz0mtzQTb-wcHA
4180,45puCRQ6Vh_IIAy7kkfFDQ,2,2010-02-24,2,Y58YzgMxrSuqhIvBBQ8McA,5,"""Hey Dan! How's it going?"" 
""It's going good! You?""
""I'm great! Good game last night.""
""Thanks man!""

This is the conversation I had with Dan Majerle the last time I was there. There's NOT a better sportsbar downtown the Majerle's. Great beer selection, great food, great location, and if your luckey you can talk to Dan freaking Majerle! That guy drains 3's and half court shots like a stripper uses her pole. Majerle's is a MUST on game day. Before, after, or both.",review,1,-tjest9KLtzl_7iselznuw
4194,45puCRQ6Vh_IIAy7kkfFDQ,2,2011-02-21,1,iuEEc18hdQzkR8Y0TqpPjA,5,"I've been at this location since it was opened and I must say this past weekend, I think I experienced the best service!  The Asian Chicken Salad -awesome!  Two people can eat this salad it's so BIG!  I was there twice this weekend, I also had a chicken sandwich which was great and fullfilling.  The waitress remembered what we drank so that was great.  I was with a large group of people and the staff at Majerle's took care of everyone really well.    The Strawberry Fields Salad looks really good as well, yumm!!!",review,1,Aaafbip-U2aeTXbvinBLiA
4243,45puCRQ6Vh_IIAy7kkfFDQ,0,2013-01-26,1,RFfE9jO4VArp_fRk1UWbcA,5,Great service..great food...very fast!,review,0,oyvUQOg1clo96UMQisdJ-A
4279,YLyEGXEgh1qh8y4kWEsddw,2,2008-03-15,2,yDK7i4xuaKlXwBG8zRxUlA,5,"I have walked by this place dozens of times. Being inspired by my name, I should probably have stopped in here more often. The one time I did (to have a watch cleaned) they were quick and courteous, definitely a locally owned,  family run business.

This is now in the ""places named after me"" list for the quest. (more details in the list - Michaels unite!)",review,3,90a6z--_CUrl84aCzZyPsg
4300,yR3U7jOgoD0V0sGovuyt0Q,0,2014-06-29,1,5iRvcK6Tk0afziv71XG1QQ,5,"Yellow Cab saved our early morning flight to the Bahamas for our wedding. Already being stressed out about the wedding, the last thing we needed was for Discount Cab to blow off our website made reservation (AND we talked to them on the phone to confirm). Discount chose not to call us when they ""couldn't find us"" and left for an new fare. While dicking around with them, I called Yellow Cab and the were there in 15 minutes. 

Driver was friendly and did a great job at sensing our eagerness to get to the airport (as now it is about 30 minutes later than our original pick up time with Discount!).  He didn't gripe about how many suitcases we had and was beyond courteous and polite.

We will call Yellow Cab again before we ever call Discount.",review,0,JQsyLbRcUGM1Z4zYrI3nOQ
4314,nc3IiY5LNdmEwUZCW84yuA,0,2009-09-08,1,m0YTrQ6jtkgjeOPHnejJzQ,5,"Ah, Chicago Pizza! It's been four months and this was a slice of heaven. You people from Chicago know what I'm talking about. We ran into this by accident and we just had lunch, but we had to go in and order a pizza anyways. Yes, we ate the whole thing. The crust was a little different but I'm not complaining one bit. Loved it!",review,1,P9_mygygjPBWfMJmN59tVg
4317,9zjSYbbWV5WHt-Jl7vE1Vw,2,2008-10-07,1,VPluW3WUtPn9Xn_uEOv-pg,5,"This little store is located within the Arizona Center here downtown.  I have shopped here before, as it is in the area that I work at.  It is locally owned by a couple, and they actually have two locations...this one and another location in Gainey Ranch in Scottsdale.

This place carries mostly touristy stuff.  I think thier prices are a little high, but the store is well kept, the people that work here are wonderfully nice and kind, and you can get a garden variety of items to choose from.",review,3,JffajLV-Dnn-eGYgdXDxFg
4320,9zjSYbbWV5WHt-Jl7vE1Vw,1,2011-06-14,1,pS3R-BTvueO29uCMDBquTQ,5,I shopped in the downtown store last July and found that the lady that worked there had a lot of hisotical knowlege to share.  I loved the shop and the fact that I learned a little about the area.  She didn't have the item in the color I wanted so she directed me to the Gainey Ranch location and they had it.  That is also a lovely shop and the owners were there.  They were also happy to share some history with us which was great.  Both shops are a great place to visit when visiting the Scottsdale/Phoenix area.,review,2,OifxmhX4X_qeMIYuFE_0Ew
4352,_yfprBETaYgySkKyl8ZWMQ,1,2012-02-17,1,9K4Ktt1x3SfbvpHi8eN4YQ,5,"I know a lot of people have complaints, but I was here for a convention in January and it was a perfect place to stay.  I had a small room with an adorable bathroom, all of which had character.  The bar had great beer, the staff was friendly and my hot water was just fine, unless the room next door flushed.  :)
It's an old hotel, with character, so if you want sterility book somewhere else.  I loved it.  It was the only good thing about downtown Phoenix as far as I could tell.",review,1,oHHtTyZe4OZ_lwqJUPkiIg
4356,_yfprBETaYgySkKyl8ZWMQ,1,2012-05-29,1,x1C9MY-Pe_cmFHL-2T7QiQ,5,"We stayed at the Hotel San Carlos this past Memorial Day weekend during the Phoenix Comicon and not only is the hotel beautiful and rich with history but the staff is AMAZING! 

There were 5 of us checking in and we had a small room that was going to be tight but we were going to make it work when the girl behind the counter let us know that the suite was available and it had more room. She offered us a good deal compared to their normal pricing but we were all a little tight on funds so we were nervous about upgrading. She asked the manager to come over and after chatting with all of us for a few minutes (she was so super sweet and informative about the history of the hotel and an absolute pleasure to speak with) she worked some kind of wonderful magic and brought the room down to a killer deal that was completely mind blowing. All of us were so excited because not only did each of us now have a bed to sleep in, but it was going to save us money so that we had a bit more to spend at the Con. 

The room had a separate living room with a couch bed, desk, chair, and foot stool. The bedroom had 2 full-size beds and a nice desk. The view was of downtown PHX and it had 2 nice-sized closets and 2 bathrooms! This was perfect for 3 girls and 2 guys since we all had to get ready at the same time. 

The hotel is beautiful. The lobby is quaint and well appointed. Obviously being a historical landmark it is older and smaller than the gigantic contemporary resorts that many of us are now used to, but it's so much better in many ways. It was warm and friendly and felt like a loved one's home. Honestly I would stay there again anytime. 

There is talk about it being haunted but I didn't get a scary vibe from the hotel at all. I will say that without knowing anything about the haunting history I did step onto the elevator by myself to go up to my room and all of the sudden I smelled some sort of fruity  perfume smell that was not present when I first got into it and the elevator which was set to go up took me down to the basement even though the B button was not pushed and my room was on the 5th floor. The doors opened revealing the basement and I said ""Hello?"" There was no one around. It kind of creeped me out a little bit later when I found out more about the history of the hotel and it's haunting stories. 

I highly recommend the Hotel San Carlos for those of you who appreciate history and don't mind a hotel with character. 

Oh and the parking isn't awful. It's just a little jot up the street which for those of you who don't mind walking a short ways, is just fine. If you do mind walking, they have valet.",review,2,VqoZ6_dh4nPGJP9H_XsweQ
4375,Og03_vbBCVAFNHXgdflRLw,4,2009-02-27,1,WCZDsN_toJAYrpOaV_Y7Og,5,"I'm basically an upbeat positive person...but some days I'm not my normal corky self. I arrived at Perry Monge flumoxed and in a bad mood--a special event meant that all nearby lots cost $12 for parking. Spending $12 for parking is spendy for a day in San Francisco...but in Phoenix for an hour? Please. I mentioned this to the poised woman at the check-in desk who said that next time I should park in the lot at their building where they validated parking. She then brough out a yummy iced tea for me to sip while filling out the new client form. I went to the bathroom, which featured a delightful scented candle, and then Sandy (?) brought me to the changing room and then my chair. A surprise: shortly after sitting down in the barber chair a woman brought me over to have my shampoo--and gave me a brief massage first. The massage/shampoo woman had a very positive energy to her. Marina cut my hair and, although she was not much of a talker, was upbeat and gave me a great cut. I've been looking for a great place in Phoenix and found it. No one will ever compare to my beloved Cid at Barbarella in San Francisco, but I do have a new favorite salon locally in the Valley of the Sun.",review,4,K4UmjxSpiHZohl2MnkBuKw
4376,Og03_vbBCVAFNHXgdflRLw,1,2009-03-07,1,ZuIYEltKr4GI4SpWmYYbIg,5,"Perry has been cutting my hair for about 4 to 5 years.  Whenever I walk out of there I cannot believe how my hair looks, and I oftern get complete strangers complimenting my cut.  Perry does a great job of taking my preferences and developing cuts that flatter me. What more can I ask?

The  massage before the shampoo is standard and more than once I've fallen asleep.  Once a couple years ago, in the late afernoon of a particularly frustrating day at work, they asked if I wanted anything to drink.  I said, only if you have vodka.  Next thing I know, a clear drink on ice shows up...and tasted suspiciously like vodka.  No that's customer service.",review,2,GnZWh25MyJD1d5FMKl3QmA
4379,Og03_vbBCVAFNHXgdflRLw,0,2011-02-23,1,H05PA_Fe0PeIdEjNKy7evg,5,"There is no doubting that I am an Aveda girl. Being in Phoenix and having plenty of Aveda salons around you would think I'd be beauty-heaven. But when I left Cleveland I was very hesitant to leave my hairdresser so I scheduled my hair appointments around when I'd be flying home. 

Well, as one could image, that become very expensive, so I finally decided to take a chance with Perry Monage downtown. I'm so glad I did! From the moment I walked in to the stylist, they were spot-on with customer service and they did an amazing job with my cut and color, too! There was a little up-selling me with products which I wasn't use to and I must admit, I did cave but I mean, Aveda, hello? Can we say amazing!

I'm still in love with Aveda and I'm now in love with Perry Monage.",review,1,4Wk7U-hSSSzG7om-Hnn7SA
4381,Og03_vbBCVAFNHXgdflRLw,0,2011-10-11,1,FajSY-hiK0MK-XvxNg4PQw,5,"Best hair cut in town. Clean facility, friendly staff, and they are always very welcoming. Definately recommend getting your hair cut here...actually, I recommend getting them all cut - HA! (hair cut humor is just awful) If you are in to hair products, they have a great selection on Aveda stuff.",review,0,Y0SdckBxI5SlUyjTdqak4A
4387,Og03_vbBCVAFNHXgdflRLw,0,2013-04-11,1,ESwYf7zJxwLBPlYU8xuN-g,5,"This salon IS the best of the best!!! Believe the hype! From the moment you walk in the door you are treated like royalty, This is not your average salon where you go for just a cut. I got a hand massage and a back massage. The owner Perry is there walking around talking to all the customers. The ladies are all friendly! Even if you don't live close by this salon it is well worth the drive.",review,0,sL8NbV1THD9-t5WyH7rVnQ
4440,BESmH-lmMm34_EefL8X9fQ,5,2008-02-13,1,LnmFo9q0GF2iNSLwZ-u7GQ,5,"Mexican food is funny because it's one cuisine that we tend to have so many favorites in that we need to make sub-categories. As such Comedor Guadalajara would be filed in my database as the Mexican seafood place that I won't eat all day in anticipation of over-eating at. This is a very thin category, in fact it's the only one. The Veracruz style snapper is single-handedly responsible for keeping me from moving to another city. The shrimp tacos certainly pitch in on this retention campaign as well. Let's go back to the snapper for a moment, shall we? This dish serves an ample portion of fresh snapper  in a near stew-like combination of jalapenos, onions, bay leaves and a rich tomato sauce. If that's not enough, you have the option to add shrimp. 

If I'm not feeling like eating off the coast, the chicken mole is sure to get my vote. The mole here is so good that I get a little insulted when I see it on menus elsewhere. The chicken is pulled from the bone and seems stewed as it's very tender and juicy. 

Service is always quick and friendly here. Decor is not the most inspiring here, but in Mexican restaurants I think that is a badge of honor. Folks of my pale pigment may pass on this place because it's location is rather industrial and low rent. That's fine by me, they can go to Macayo's and I'll take my usual booth under the spray painted swordfish.",review,3,WJNMh_hUymOX7CDKtCOKUA
4445,BESmH-lmMm34_EefL8X9fQ,2,2008-06-23,2,_UdP45bM26TpJ9GlE9Xlfw,5,"Oh, I love you, Comedor Guadalajara.  R.I.L.F.

I loved you when you were also The Crystal Palace.  I loved you as a child, when we would try to sneak into the pseudo-night club side and take peeks and our moms would drag us back like trouble-making ne'er-do-wells. 

You've changed a lot since then, dropping the Crystal Palace half of your moniker, but your food is still as good as it always was.  You're cheap, you taste great and you give a lot, even if your looks aren't spectacular, just like my favorite hookers (what?).

The Pechuga Asada, two whole chicken breasts grilled and tender, on top of a mound of rice and beans, is so delectable and awesome that I want to eat it constantly.  But how can I, when the machaca chimichanga enchilada-style with plentiful guacamole and other assorted accoutrement beckon me?  

And what of you, Green Chili?  Your almost-soupy consistency, the potatoes, the carne, the color, the tortilla...too much to handle.  

Oh, others, they will say that it tastes the same as other Mexican restaurants to them.  That's because they haven't been spoon-fed all this shit for the past 25 years like we have, day in and day out, beaners that we are.  We can taste the slightest change in the amount of cumin, or how much salt, or the way someone cuts their meat before cooking it, or the way they make their spanish rice, because we've eaten so damned much of it. 

So that's how I know that this isn't so run-of-the-mill.  That's why I love you, Comedor Guadalajara.  

You're totally still a cutie, even at your ripe old age.  R.I.L.F:  Restaraunt I'd Like t....nevermind.",review,2,clTYUJCL-rHnVIS2WePRwA
4448,BESmH-lmMm34_EefL8X9fQ,2,2008-08-10,1,qzi3Q_332YqKxapZ-lZZKQ,5,"Comedor Guadalajara is probably one of, if not, our favorite Mexican traditional Mexican places.  We don't usually order the regular Mexican food you can get at any place, we tend to order their specials.  Those dishes might be a little more exotic than most people are use to, but they always leave us full and delighted.  When the Mrs & I go, we often get the Tres Carnes platter or order of the specials for dinner.  When my cousin  and I go, I almost always order the Tripas de Leche......nothing better!!!!!   I have never seen them on a menu anywhere else.!  Gotta try them!",review,3,AuQ28IMcqAloDmlFI7CKoA
4457,BESmH-lmMm34_EefL8X9fQ,2,2009-07-27,2,96i9HGSSpkg848Uj65H9vQ,5,"Much favor has been heaped in previous reviews and no dissent here. This place is great; eaten here many a time. Easy to get to from anywhere in the valley, at corner of I-17 and Central Ave. 

Excellent food, great service--even for a party of 22. Nice beverage assortment. Try a cold Carta Blanca, instead of a Modelo or that shite that begins with the third letter of the alphabet. 
And, by all means, order a Vampiro, if you've not tried one. Tequila, Sangrita, and Squirt soda pop--muy rico!",review,4,Bh7gtC8Spjy-49mHXbGAvw
4485,BESmH-lmMm34_EefL8X9fQ,4,2011-06-09,1,UQLWFbJfLbbE_KYTk9BmZg,5,"Ci!

Comedor Guadalajara is a place that seems to always come up when discussing Phoenix Mexican food.  I finally found myself in the area and dropped by for early lunch and was not disappointed.

To the tourists and over cautious it may not look like the best area to be but have no worries.  This part of town is just old and run down.  You won't be knifed in the parking lot and there's even a security guard keeping an eye on the lot.  Have no fears.

As per usual when I hit a Mexican place I ordered the enchilada's.  The appetizer was the standard free house chips and salsa.  Oh, boy!  The salsa!  I always complain that the salsa in not hot enough (even at Mexican places) but one bite here and there was a temporary spice assault upon my eyes and nose.  Both started to run and I loved every minute.  When your body reacts, you know you're eating good salsa.  My Pepsi came soon after wards and it was the largest drink I've ever been served save for a liter of beer I had at a German tavern in New York City.

My food arrived soon after wards and it was served on a scorching hot plate.  Everything was delicious and I think they make their own refried beans.  Possibly the best beans I've had at a Mexican place.

The dining area is larger than a fast food joint but smaller than your typical restaurant.  Not long after I arrived it started to fill up quickly.  Expect to wait a few minutes at peak times.

Sadly this structure was an impenetrable fortress for my phone and I was unable to officially do a Yelp check in but, eh, I cannot hold that against the Comedor.

I'd like to note that quite a few of the patrons were Hispanic and that, to me, is always a good sign when eating at a Mexican joint.

I have been waiting to find a Mexican restaurant that I can officially dub as the best I've had.  I am confident I can dub thee, Comedor Guadalajara, as the best I have had.  Can't wait to take any visitors I have here.",review,5,gg_OKjOAl_vVmdh5ZETuiw
4518,BESmH-lmMm34_EefL8X9fQ,9,2013-03-05,2,t-fKQ5ExYqENN73sNQY_1A,5,"Finally got back around to this place (right in my neighborhood!) after 2 1/2 years!  We just have so many excellent places to eat here in the Valley!

Arriving about 11 AM today, a Tuesday, this nice, fairly large place was already roaring busy!  I did get seated right away, but they were soon full, with quite a crowd in the waiting room by the time I left.

For this visit I decided on one of the four white board Lunch Specials of the Day (in addition to the Tuesday Lunch Special contained in the printed restaurant menu).  This was a Pablano Chile Relleno and Pechuga Asada (broiled, boneless chicken breast).

My friendly server gal showed up right away with good toasted tortilla chips and a cup of their spicy hot, pureed red salsa.  Next came a small bowl of their Soup of the Day, which was Conchigliette y Carne Deshebrada in a tomato based sauce.  Yum!  (Having soup included witl lunch at no extra charge is one of things that make this place special!) 

At the right time, my big platter of the main courses arrived.  Everything was beautifully placed, & the chile came stuffed with Queso Oaxaca, breaded, deepfried, and treated to some delicious toppings.  Along side was the tasty, good-sized chicken steak plus generous servings of creamy tasting, cheese coated refried beans & fluffy Spanish Rice.

Every bite of this meal was absolutely delicious, and again I wish I had brought my camera along to show it off, but suffice it to say that I'm so glad I came to this great restaurant today!     :-))

Relleno Pablano y Pechuga Asada Lunch Special:  $9.25",review,9,ikm0UCahtK34LbLCEw4YTw
4524,BESmH-lmMm34_EefL8X9fQ,2,2013-05-16,1,HuYViTWN77sG62TM4Vj1lw,5,"I was here for the second meet up of the International Supper Club UYE. I thought that the first meet up was going to be hard to beat because it was so good but this place knocked another one out of the park. I think I just found my new favorite Mexican food place in town.
From the outside it looks like a hodge podge of different additions obviously added at different times with no thought at trying to make it match at all. Even the parking lot was a little crazy. Walking in the two front doors continues the hodge podge theme. This is a family owned restaurant that has been here awhile for sure. We sat in the front waiting area for the rest of the group to show up and I had to use the bathroom really quick. Those were also scary. Questions started to arise about this place. I hope the food is good. We waited a little while longer and they decided to seat us even though our whole party wasn't there. Then we walk in to the main dinning are. Now obviously at some point they gutted the entire inside and completely remodeled it. It was very nice. It was a large open space with an exposed ceiling and lots of tables. We were taken to a back section where several tables had been pushed together for us. Maria our server came over and chips and salsa were on the table immediately. She did a great job the entire night. Best services I have had in awhile. She took everyone's drink orders and drinks started to come out a few at a time. Once everyone was there and ready to order she went around the table and took everyone's order. Offering suggestions and helping with custom orders.
After what seemed like only a few minutes. Dishes started to come out as well. One or two here then a few more over there. Finally everybody had what they ordered and it all looked and smelled really good.
Then fork went to mouth and somewhere a chorus started singing. Wow this was really good. I had ordered a Carne Asada steak with a cheese enchilada. I couldn't pronounce what it was called when I ordered it and I won't even attempt it here. It really was some of the best Mexican food I have ever had. The steak had a great flavor to it and with all of the cheese and sauce and everything it just added to it. I couldn't even finish. Although there wasn't too much left.
Even after that I still had to try some dessert especially after I saw churros and ice cream on the menu. This was not a mistake. It was so good. The ice cream was fantastic and the churros were warm and soft.
Everything was amazing. Maria was a great server. The company was fantastic as usual. Maria even split the check up for us even though there was a handwritten sign up front that said they didn't do that.
I hope to have many return visits here. My new favorite Mexican place hands down.",review,3,MnDHJvePh4cWMrBgOp0_Ig
4529,BESmH-lmMm34_EefL8X9fQ,1,2013-06-12,1,lTcBsR16TndADZiFSL9RWA,5,"Just when it seemed like I couldn't be impressed by a Mexican restaurant anymore, here comes Comedor Guadalajara. When so many others stopped offering free chips and salsa while you wait I was SHOCKED by not only getting chips and salsa but a cup of soup while waiting for our meal. We went in for lunch, and while we had to wait 10-15 minutes for our table, the service was awesome and we were in and out quickly. They do not mess around here and I was thoroughly impressed. The food was close to the Tex Mex that I crave from home and the value for the money is solid. The chili rellanos was killer. Will be back regularly!",review,1,qRo9gHN5OiV1-peDuhCh-g
4534,BESmH-lmMm34_EefL8X9fQ,1,2013-07-08,1,NVxBFpINachnCHFf1FTaGQ,5,"Best chlliquilles anywhere i have had them.....THE END!!!! I
travel 180 miles just to get them no one else compares yet...",review,1,AZGbse_LZ1p8gCsmWtnfNA
4541,BESmH-lmMm34_EefL8X9fQ,2,2013-08-27,2,Y5LdySazG6XNqAYlhyI3Qg,5,"Gracias Monica for bringing the International Supper Club here!

From the outside, like Monica said, youre not really sure what youre getting into. Until you get inside and smell the deliciousness.

This place is a bit smaller than I expected, but spacious at the same time. We were seated (smartly) towards the back of the restaurant. Oh the menu. Its a little overwhelming, not in the amount of options but the amount of things that sound delicious! I chose the Chimichanga de Pollo. I was totally prepared to enjoy it, as is but then our waitress suggested that I get it enchilada style. Best. Waitress. Ever. Holy god was that thing good. The chicken was tender, the sauce was so so good, and it had just the right amount of spice. Its a large dish, that was equally good the next day.

I would highly recommend this place for a sit down meal if youre looking for really good, authentic mexican food. And I wish I was still in AZ cuz writing this review has made me hungry for it!",review,2,X5GbNXY_nNoa_vTZDD0aCA
4543,BESmH-lmMm34_EefL8X9fQ,0,2013-09-15,1,r2zmCvQ5kjBeEZOu24hmHQ,5,We love the food. The drinks. The atmosphere. But mostly we love our server. Thinking about inviting him to Thanksgiving.,review,0,1FMJZ9pCpgEFsr0sn_pQSg
4555,BESmH-lmMm34_EefL8X9fQ,1,2013-12-26,1,EF6ArnfmKIgiVc3oEhB6vA,5,"This place is awesome. Stop reading this- and just got eat here.

The salsa can be spicy- sometimes mild. 
The beans are perfect. 
The enchiladas have great flavor, but aren't spicy. The tacos have been really good. Just like when I was a kid with potatoes in them:) 

The michaladas are the best. 

Im coming Sunday to eat muendo. 

The service is great too. 

It reminds me of southern arizona/ before all the gringos/""snow birds"" got there..(Douglas, Aqua prieta) 

Seriously stop reading this and eat here. NOW! And take me with you!",review,1,ZIcb9cCwcV4My87A-tPM7Q
4567,BESmH-lmMm34_EefL8X9fQ,0,2014-04-22,1,xLkShz33V-SmTj3p7k4iaQ,5,"This place is awesome!
The prices are Great and the food is soooooo good!
The service is the best ive ever had at any restaurant in the valley, hands down.
They have security in the parking lot and that shows the owner cares about her customers :) 
I go as often as I can and you should too",review,0,vK4-hRsHSUDwKfWjV8Mdbw
4586,X9ih9Iotd-VEZ8tTYfoarw,1,2009-03-22,2,uCAr97qAvUqWHUjJsjWp7Q,5,"Saw Les Miz (5th or 6th time) and it was indeed something special in this truly wonderful theater with truly fantastic voices.  The staging was awesome, the ambiance marvelous, the sound sytem spectacular, the enjoyment unsurpassed.  Am signing for season tickets!",review,2,wBi0I2QcqZtNOh21WlBVKA
4594,X9ih9Iotd-VEZ8tTYfoarw,1,2012-04-05,1,w_JoQeqwdzn3cKeCTJyO-w,5,I've been here a few times over the years.  Nice intimate theatre with really well done performances.  I was at Gypsy this Sunday and loved it.,review,1,Kqvfep2mxS10S50FbVDi4Q
4600,X9ih9Iotd-VEZ8tTYfoarw,0,2013-04-09,1,nRHi4fI7QIohklo0wJ8O6w,5,"WOOOOO! I love this place! I'm a huge fan of the arts and I'm so happy that there's a theatre as great as this close to home! 

I was there last week to see bird cage (la cage follies)! It was a fantastic performance an I was trilled to come watch another show at this theatre. The actually theatre is pretty small. So small in fact that the orchestra is actually placed in a separate room on location and microphones transfer the live music out to the main stage. If you are sitting in the audience and look up you can see the director and lighting experts working their magic. The sound engineers are located in the back of the theatre which is the usual spot in most theaters. The seats were kind of uncomfortable but there was a person in the lobby trying to get donations for new chairs so I can't really say much about that.

During intermission I did have a slight problem with the pace the concessions were being sold. I tried to be patient because I knew they were having an issue with the credit card machine and the girl working was very apologetic but I felt like I was about to be trampled from behind by starving guests... But damn that cookie was good. 

I'm excited for this seasons performances! Especially RENT!!",review,1,oZuNME_exUMSjrcg6uRFjw
4614,D09yG6Z3gcsh24Qn7Y4gYA,1,2006-10-09,2,CNR9RxKmw2DpTX36Z9uOwg,5,"Heaven on earth.
This place has it all: good burritos, awesome salsa, cold beer, creepy mexican carnival music, and an I (heart) Huckabees Poster in the women's restroom.",review,1,hWPOj78yi6CQub26elkHHQ
4625,D09yG6Z3gcsh24Qn7Y4gYA,4,2009-04-10,4,jzEwJPwnByV9DCD1IrWJAw,5,"You can find me here every Tuesday night. You see they have a daily rotating specials menu and it so happens to feature the best veggie burrito (this is saying a lot coming from me, since I am obsessed with burritos and have lived in Phoenix for most of my life) for a little over $5 on Tuesdays! It is so massive.. if you know the size of a Chipotle burrito, imagine that, but doubled! Seriously, it consists of two very large tortillas, which are needed to whole the damn monster of a burrito together. This happens to insure that the contents don't spill out of the tortilla! Genius. I am fairly sure this burrito weighs more than most new born babies.. yes, that's even considering how all the hormones people consume today are making babies larger each year - this burrito would still out weight them my friends!

Anyhow, the burrito is large enough to satisfy me for three complete meals. Awesome for $5. The guac that they make is top notch, and their rice is truly amazing. It all tastes very authentic, and I love that I can easily make it vegan since they don't add any secrets into their food. I just have to ask them to hold the cheese and sour cream, and they have never once slipped up on this! Which also keeps me coming back.

Oh, and the salsa bar is to die for! I am usually creeped out by salsa bars (think Baja Fresh - yuck) but they actually make some damn good salsas and usually have a bowl of chopped onions... I can never get enough. I think my personal favorite salsa is called something like Salsa Fresca - it's usually all the way to the right. Be sure to try it with your free chips.

On top of everything I love about this place is the fact that it is so close that I can walk there in a few minutes. Although I hate strip malls, I am glad that this little joint is downtown and not somewhere completely stupid.

Stop by and check it out when you want some affordable, authentic tasting AND high quality Mexican food.",review,5,CbtlzjG8Vfvh5cal6N82Nw
4675,kaIue7GRCmkPzDeHDBTttQ,11,2008-02-01,6,xA6_g5tHjmcRaza_aiOHbQ,5,"Sounds of stirring, lunch
nears and my appetite waits
my neighbor enters.

Quick we drive to it
A simple place but look-busy!
Still no wait to sit.

Varied menu greets us
I choose the daily special
Food like its home-made.

Service is friendly.
Order comes quickly to you,
Owners always smile.

Soon it's time to go
my thoughts turn food away, but look
my wallet not empty.",review,7,IMsUuPGFQoNMeZzbhqtiCw
4678,kaIue7GRCmkPzDeHDBTttQ,5,2008-08-21,4,YcaCmYPWzMAloQOwYHTshA,5,"Hands down the best teryaki in the world. 
i'm really not exagerating. this place is awesome. i have been going to blue fin off an on for the past 20 years. i remember as a child going to florance crittenden after getting a teriyaki bowl with half a salad. every chance i get i drop by this place.

 the teriyaki bowls are serious. not skimping on portions at all. and if you seriously off a diet, they have double meat portions. :D    i like the dark meat chicken version. drop on a heavy sprinkling of the hot powder and some black sesame seeds. OMG!!! the best in the world.  the Panko chicken is my second favorite dish. the egg rolls are great. 

the owners are always great, cheerful and ready to chat you up. i was so glad to hear this place was spared the wreaking ball. i would have chained myself to the door if it came to it. inside is cute and hasn't changed..in forever. i am serious. ever.

getting to it is tricky now. and parking is just as tricky. but its worth it. SOOOO WORTH IT",review,8,E5QyEU6FCQwnTys0S73zNw
4686,kaIue7GRCmkPzDeHDBTttQ,2,2008-10-31,2,rJyHncQBMjHmWYFRtG9PcA,5,"The Blue Fin is my favorite Teriyaki stop in the valley.  

To begin, the service here is awesome!  For such a casual restaurant, they really know how to make you feel welcome.

I absolutely love the food here too.  Great appetizers, spring rolls, inari, sunomono, etc.  Being vegetarian, I always order the same...Steamed Vegetable Bowl.  For the money, you get a TON of food here.  The teriyaki sauce is perfect, not too sweet like some of those chain places.

Did I mention that the service here is the best?

The only thing wrong with The Blue FIn; they are not opened on the weekends, Monday through Friday only.",review,4,Ak2jlINPRk9dWWazWUW2hA
4687,kaIue7GRCmkPzDeHDBTttQ,2,2008-10-31,1,kHlKUfKbMeYrlarEU2ctBw,5,"I need to update my review of Blue Fin. This place absolutely rocks; that's probably why you can find me eating lunch here 4 out of 5 weekdays, seriously. I haven't ever had a bad experience here after finding this gem and cannot speak higher of everything about they provide. Service, quality and freshness of food, as well as value, cannot be found elsewhere.",review,1,6hRKotVFPYL7Ci0hipN9Eg
4692,kaIue7GRCmkPzDeHDBTttQ,1,2009-02-09,1,cE06-6bhdgkPfLEUTokuzw,5,"I can't say much about this place because I do the same damned thing every time.  Pull up to the drive through window, smile at the nice lady, order a teriyaki combo or two and some rolls, and peel out with my food in two minutes or less.

I can't imagine it's the toughest thing in the world to make consistently good teriyaki, but I'll tell you what, those people are friendly every damned time I roll through.  And the food is always still hot and delicious when I plop down on my sofa to dig in.  Oh, and the salad dressing for the combo salad is yum.  God, I think this place might have been around back when I was in high school.  Way to keep it rolling!  Five stars, baby!",review,2,7-ly4LI9XWLXkFiM2vHxrw
4693,kaIue7GRCmkPzDeHDBTttQ,7,2009-02-19,6,JBY2ncGCDejjy3kCVzZ3xQ,5,"I hadn't checked Yelp before going here, but it's on the light rail and I've been wanting to eat here for weeks. It just so happened that I was split between two offices today and Blue Fin was in the middle. So, I exited off McDowell and was treated to the amazing aromas of BF. 

Upon entering, I'm greeted by the nicest lady I might have ever met. She admires my plaid jacket. (BTW, there's a Yelp sticker on the door!) After reviewing the menu--which has a good selection of choices--I decide on the panko fish over white rice. That wonderfully kind lady was sad to see me leave because she wouldn't get to see if I liked my food. Waiting at the LR station, I was glad I picked up an extra pair of chop sticks because some crazy-eyed man was looking at my bag. Although it had been about 10 minutes from the time I received my food to the time I walked back into my office, the food hadn't really cooled down all that much. Nice! The fish was super crispy on the outside yet marvelously moist inside. And the rice was good too. 

I'll definitely be back, kind lady. And hopefully I'll be able to eat there with you so you know how much I appreciate great food and expectational service.",review,6,nc3cqVN0UuB3m50-CcMftw
